Accession;"ST6512-R1
Absolute abundance (mg protein / g CDW)";"ST6512-R2
Absolute abundance (mg protein / g CDW)";"ST6512-R3
Absolute abundance (mg protein / g CDW)";"OKYL029-R1
Absolute abundance (mg protein / g CDW)";"OKYL029-R2
Absolute abundance (mg protein / g CDW)";"OKYL029-R3
Absolute abundance (mg protein / g CDW)";"JFYL007-R1
Absolute abundance (mg protein / g CDW)";"JFYL007-R2
Absolute abundance (mg protein / g CDW)";"JFYL007-R3
Absolute abundance (mg protein / g CDW)";"JFYL014-R1
Absolute abundance (mg protein / g CDW)";"JFYL014-R2
Absolute abundance (mg protein / g CDW)";"JFYL014-R3
Absolute abundance (mg protein / g CDW)";"JFYL018-R1
Absolute abundance (mg protein / g CDW)-R1";"JFYL018-R2
Absolute abundance (mg protein / g CDW)-R2";"JFYL018-R3
Absolute abundance (mg protein / g CDW)-R3"
Q6CD05;0.004286757;0.003056336;0.005462074;0.023931096;0.018463463;0.007768338;0.010139528;0.009554027;0.005942816;0.006507023;0.008042638;0.006505958;0.017735628;0.010650075;0.020054755
Q6BZU1;0.020111662;0.012301731;0.019112229;0.023948805;0.04069498;0.027542162;0.022942129;0.027702155;0.025724059;0.019386287;0.02021994;0.02136157;0.025377153;0.025676808;0.033041117
Q6CEI5;0.008597488;0.008336816;0.006052708;0.010243493;0.008057548;0.007594372;0.007754173;0.009658672;0.009223171;0.01072159;0.007419069;0.009736555;0.006538597;0.007681967;0.007903937
Q6C1E0;0.02666668;0.023139549;0.018129323;0.028311453;0.023065651;0.023690267;0.037539231;0.040369955;0.037295345;0.039337569;0.041887416;0.039152354;0.02506498;0.034001234;0.036368711
Q6C8G4;0.024609946;0.019427515;0.016906641;0.012051108;0.023350275;0.021200054;0.022963791;0.027280023;0.026184609;0.026214199;0.019052477;0.026175728;0.017595407;0.020936904;0.023934821
Q6CDR3;0.072552847;0.070983576;0.062792508;0.192829762;0.082262126;0.068349305;0.054249766;0.05556718;0.060083248;0.056483177;0.056514655;0.060194021;0.07856332;0.096667209;0.091631496
Q6CI87;0.02531534;0.023880352;0.018197308;0.01370505;0.02106646;0.021822464;0.024199371;0.030336452;0.030260271;0.02653945;0.025537594;0.028839487;0.021687147;0.02872228;0.027984926
Q6C690;0.09821466;0.083182418;0.088152987;0.101159752;0.11931798;0.120921892;0.167967106;0.18328955;0.175984878;0.163007408;0.171348557;0.180583489;0.161930032;0.173706775;0.171145121
Q6C2A3;0.037433392;0.03411415;0.026309161;0.024401718;0.035450289;0.03299579;0.05178609;0.054134864;0.04866213;0.049276965;0.047625701;0.051547728;0.03672323;0.044606527;0.049085083
Q6C5N8;0.036310214;0.031668849;0.016234003;0.065552695;0.07193909;0.040032819;0.014806809;0.016504639;0.011837684;0.009899869;0.017181684;0.011380648;0.01620482;0.014510885;0.019734332
Q6C2M3;0.004617867;0.005277644;0.004913434;0.017709167;0.010589672;0.006765015;0.010865944;0.011995787;0.008894785;0.00984408;0.015201932;0.011020796;0.012652838;0.01034589;0.013528999
Q6CBC8;0.006794371;0.006123429;0.004905193;0.006179707;0.006194288;0.006533017;0.007369209;0.00808821;0.008331364;0.00940641;0.009339707;0.010337038;0.006956913;0.007552593;0.006848004
Q6C042;0.024892427;0.018979356;0.013500392;0.014158777;0.018896132;0.020043722;0.012505961;0.020146816;0.017630365;0.013395853;0.008485134;0.013030067;0.013554336;0.014737914;0.017177189
Q6CBK3;0.038675856;0.039930494;0.029241383;0.027635192;0.040657507;0.03974354;0.049051519;0.056974055;0.053215032;0.055401915;0.053898667;0.06553037;0.042566199;0.05090381;0.049514855
Q6C028;0.137169374;0.121612144;0.072293756;0.071289425;0.076429869;0.093046323;0.099150762;0.129262855;0.146151117;0.164577878;0.121205096;0.167294541;0.081729615;0.114018621;0.100438729
Q6CAK2;0.016112818;0.014114156;0.020854192;0.011427045;0.01475044;0.014220299;0.013436368;0.017126675;0.015686331;0.016649526;0.017534944;0.017805114;0.011831599;0.01446209;0.014534591
Q6C9W0;0.023934801;0.02209507;0.016582754;0.03741044;0.020288256;0.020122675;0.03261187;0.040658163;0.035425989;0.039387382;0.037053103;0.040225606;0.025174527;0.03325666;0.035579499
Q6C998;0.01170832;0.011919256;0.009303403;0.018430883;0.010900447;0.010661627;0.018721145;0.021995296;0.01885506;0.023823735;0.027481595;0.024511064;0.01323913;0.018088516;0.019582887
Q6CC66;0.019985132;0.019387384;0.014496516;0.037236341;0.021374899;0.018054774;0.02485277;0.028464733;0.029088259;0.026057867;0.028721452;0.028030661;0.019414201;0.025071805;0.027173403
Q6CH36;0.019107727;0.016582936;0.01400939;0.011122037;0.018470827;0.019619833;0.02416802;0.03145935;0.030127679;0.028143373;0.028175121;0.029892314;0.018068135;0.020675099;0.02407148
Q6C6I6;0.023286406;0.021587772;0.024275354;0.037484971;0.037712341;0.031555014;0.037845625;0.039469196;0.030983815;0.032832846;0.033850579;0.036231111;0.058098468;0.080094885;0.085118441
Q6C2Q7;0.015517894;0.014867356;0.012152835;0.010748415;0.015941454;0.015326152;0.019954138;0.023867025;0.020112268;0.02283033;0.019772137;0.025398639;0.012511094;0.015050094;0.016681982
Q6C9P4;0.048731557;0.042664949;0.032950846;0.153660471;0.056992124;0.043757739;0.037331669;0.041185874;0.037099846;0.038075447;0.026278187;0.036885798;0.034087819;0.042215899;0.045506817
Q6C783;0.052030223;0.044021935;0.03756807;0.039217566;0.059820871;0.061551277;0.029078935;0.03485938;0.027281729;0.019925052;0.015863302;0.020284498;0.03072079;0.030859476;0.039277079
Q6CAF7;0.006512567;0.005633233;0.005625475;0.006450483;0.008949097;0.007159753;0.00739389;0.007812868;0.006087219;0.006608459;0.006099322;0.007151424;0.007159471;0.007281602;0.00846304
Q6C437;0.003990761;0.004033184;0.003294904;0.003490438;0.004383671;0.004813459;0.003992854;0.005472365;0.005258882;0.006064766;0.005041919;0.006697643;0.003930589;0.005268855;0.004508911
Q6C6Z3;0.019822317;0.018954885;0.013961018;0.012361571;0.017089679;0.017658187;0.016543697;0.017816332;0.018159796;0.018410745;0.01782357;0.02036411;0.013499532;0.018896632;0.018778311
Q6C872;0.024155585;0.023200692;0.017564809;0.009544227;0.024410017;0.023123992;0.034931377;0.038581912;0.03757702;0.036296534;0.023805553;0.036845921;0.024142345;0.029957671;0.030128392
Q6CCK4;0.017013874;0.01603931;0.013810144;0.008542641;0.015027557;0.015352553;0.037584446;0.047728779;0.044752911;0.035562075;0.031940307;0.033344831;0.027132436;0.029310469;0.031829293
Q6C6M0;0.015013232;0.01465611;0.010317728;0.013009867;0.016776005;0.017041317;0.011516785;0.014187426;0.012508707;0.013785893;0.011889318;0.017045232;0.012198189;0.012463437;0.015908027
Q6C7M5;0.015824413;0.01457584;0.013385303;0.019226714;0.017414265;0.015079298;0.024743006;0.023235898;0.023765523;0.02577377;0.027719155;0.026589273;0.017751575;0.025511175;0.024865159
Q6CC27;0.03262749;0.031993085;0.022246461;0.033354889;0.02321061;0.023597951;0.053249916;0.06063305;0.058935417;0.058202814;0.063950547;0.06189321;0.039305537;0.05284446;0.049652062
Q6CEK9;0.021208987;0.01650383;0.012302885;0.025319051;0.018597352;0.019371628;0.010788354;0.013612784;0.011237247;0.016316462;0.013499891;0.016280103;0.010825194;0.015603255;0.018119412
W0TYP7;0.03562768;0.03209763;0.026226536;0.026631546;0.033073602;0.033189848;0.038139407;0.043441641;0.043365284;0.050351344;0.047283832;0.055373243;0.03429434;0.046975133;0.039676742
Q6CHK8;0.0241351;0.019452934;0.017226529;0.017987264;0.020991126;0.021182107;0.028016696;0.037400731;0.032896361;0.029320222;0.025798046;0.030687186;0.020341416;0.023802426;0.025104132
Q6CAF2;0.048006311;0.042819833;0.033694012;0.046115708;0.041351892;0.046233547;0.057389483;0.061451348;0.058727141;0.067213369;0.056417816;0.069486675;0.040249351;0.056074013;0.055844842
Q6C928;0.032351472;0.023224703;0.041711442;0.073928912;0.109657139;0.05412903;0.085680347;0.079749466;0.055913404;0.05197815;0.061925948;0.063292633;0.080059373;0.066532632;0.098159063
Q6C1H1;0.01466901;0.013026763;0.011190414;0.008709142;0.014807041;0.013693619;0.019270916;0.021395206;0.021833341;0.02621577;0.024537832;0.028651529;0.0138209;0.018663278;0.018614459
Q6C3A7;0.046649281;0.034345144;0.037804509;0.218989092;0.052865002;0.046531485;0.080039581;0.0995712;0.09282377;0.09838791;0.098175212;0.100855549;0.07112381;0.069340927;0.063664607
cont_P08729;0.027819441;0.026991618;0.012473547;0.030100299;0.049044701;0.033679112;0.044611498;0.054882155;0.029924249;0.031823696;0.628378628;0.038937579;0.062184158;0.060173532;0.056121724
Q6C012;0.100194904;0.104103514;0.089086186;0.059554707;0.090098178;0.09991262;0.171081603;0.180606898;0.187188568;0.196235744;0.213536541;0.21969124;0.126737408;0.165646406;0.156052246
Q6CD70;0.008746426;0.007575516;0.006152494;0.010346668;0.007957737;0.008068654;0.01379269;0.016394413;0.012447616;0.015276453;0.01532248;0.015331899;0.012343231;0.014213016;0.016835281
Q6CE35;0.025395099;0.0261821;0.017799019;0.022931987;0.016198152;0.017933131;0.023546226;0.029968745;0.025734354;0.02867631;0.029230552;0.031748578;0.016827076;0.020747161;0.022769774
Q6CI94;0.012813165;0.011439036;0.011025312;0.007692905;0.012406848;0.012442098;0.024435475;0.026559218;0.02748958;0.028708705;0.029919583;0.032548789;0.018864968;0.023513115;0.019760533
Q6CBS4;0.017439834;0.016235886;0.01214143;0.031505688;0.017921982;0.015734296;0.015560251;0.016957372;0.016149439;0.015924177;0.013797311;0.013410398;0.013642468;0.015969744;0.018743137
Q6CG45;0.014785422;0.012310727;0.013578897;0.008789102;0.014945546;0.0158176;0.020518548;0.024976984;0.025165988;0.024177972;0.026106914;0.025038317;0.017663651;0.027628846;0.021174436
Q6C007;0.018102843;0.016689208;0.011722589;0.009264628;0.019663078;0.017887265;0.012817863;0.012835172;0.011677441;0.010205931;0.006741384;0.010524193;0.009997328;0.010945273;0.014985151
Q6C1L7;0.027721691;0.025556172;0.02242754;0.019610345;0.023790664;0.025699709;0.054590255;0.064803831;0.064062191;0.067732287;0.068719637;0.069036893;0.036340679;0.046998605;0.044395463
Q6CAF4;0.023027473;0.019817847;0.020567895;0.03491759;0.028717565;0.026602419;0.034184101;0.039990515;0.033065617;0.029241467;0.034305411;0.033678782;0.024941887;0.02815102;0.030053039
Q6CAC0;0.047168646;0.043905711;0.032912123;0.051109147;0.045820484;0.04687314;0.037511819;0.042618191;0.039920075;0.04152966;0.039585519;0.043859808;0.030009866;0.036638465;0.041155445
Q6C6N2;0.010758145;0.009256659;0.007624439;0.014152937;0.010979329;0.010954013;0.012311002;0.014748925;0.011998399;0.011887451;0.01061549;0.012592534;0.01026697;0.011866265;0.015940643
Q6CD04;0.03589384;0.03330184;0.031454283;0.036795069;0.047560598;0.046801566;0.048930483;0.054981519;0.049754472;0.045132696;0.038791109;0.049770536;0.039573736;0.04636384;0.054043877
Q6CCW0;0.015539724;0.013645982;0.01166159;0.03587483;0.015954873;0.015394539;0.016949133;0.018662688;0.016449815;0.019932823;0.020680489;0.020101193;0.015586888;0.015317346;0.021803766
Q6C424;0.03733394;0.035933368;0.029097108;0.046062334;0.03573132;0.038486347;0.040581771;0.04250205;0.041510538;0.03712009;0.030569373;0.041564754;0.034098098;0.039150654;0.050817411
Q6C2N0;0.020326948;0.020411722;0.017455039;0.014335647;0.020138866;0.022482329;0.021368017;0.024819526;0.023267813;0.02222397;0.019206689;0.027330947;0.017749139;0.020590861;0.021442789
Q6CFB1;0.00548643;0.004589198;0.005574778;0.00511088;0.007705601;0.006761396;0.012817344;0.01472331;0.013395962;0.016415771;0.015708289;0.014696047;0.010238144;0.013721565;0.015408354
Q6C9S6;0.022957897;0.01785777;0.012607747;0.023147867;0.020156298;0.020699742;0.013179534;0.015645757;0.012434782;0.016151929;0.009607499;0.013991397;0.011690942;0.012142128;0.016850379
Q6CCZ4;0.024174935;0.025226583;0.022516314;0.020719176;0.024151993;0.025284525;0.029539126;0.035569836;0.030788586;0.030847663;0.028171686;0.032552625;0.0214337;0.025875254;0.029269632
Q6C9M5;0.028926048;0.023791228;0.022500701;0.019127926;0.035380484;0.027975742;0.040144315;0.050236581;0.049987247;0.119805107;0.121254019;0.120046123;0.02608782;0.037783975;0.033602535
Q6C321;0.018249365;0.015714618;0.011051658;0.01377487;0.01857387;0.016691418;0.017057916;0.021383095;0.019539622;0.022598848;0.021022753;0.021973311;0.014811462;0.015783629;0.01941426
Q6C665;0.068826323;0.052263523;0.038491584;0.030858874;0.056668196;0.0520273;0.044315922;0.053609486;0.045600828;0.046101659;0.037446482;0.045624122;0.036447772;0.045078126;0.052520033
Q6CAU6;0.022199052;0.019480196;0.015593634;0.021384256;0.022103373;0.019465079;0.033507364;0.030362111;0.026217161;0.032882206;0.026607324;0.038857097;0.022773606;0.025538159;0.028391115
Q6C5M3;0.016556986;0.014960641;0.013054488;0.063575469;0.023858412;0.0185182;0.01607124;0.019441679;0.013806237;0.012624371;0.011944092;0.013332474;0.013635988;0.013837877;0.020276744
Q6C5H3;0.013820109;0.013320419;0.010835786;0.012439497;0.015100777;0.014730789;0.015574581;0.016674542;0.016383807;0.014884877;0.014843031;0.015589308;0.011895033;0.014465426;0.015122452
Q6CGB8;0.013356156;0.011405976;0.00819227;0.009251372;0.011077447;0.012029108;0.011437167;0.013138637;0.015055494;0.013937984;0.014648581;0.014032693;0.011177433;0.012112363;0.012741784
Q6C926;0.016725667;0.008694423;0.006029706;0.025837688;0.02585093;0.016840192;0.004647504;0.005356592;0.003634563;0.005901309;0.002904896;0.004404319;0.004327959;0.003702627;0.006987688
Q6CE01;0.01090987;0.010749053;0.008817037;0.002592989;0.005976242;0.007186535;0.156924784;0.165777022;0.170261204;0.13957747;0.234024387;0.182461157;0.046869153;0.055059733;0.05360331
Q6C594;0.047046389;0.041564447;0.025842247;0.048553532;0.048541691;0.040665323;0.030646746;0.034007564;0.033825069;0.032381033;0.029908573;0.033308887;0.028524241;0.034549479;0.039710712
Q6CFV1;0.02836948;0.027771777;0.017165947;0.016477824;0.023543014;0.025695415;0.026282293;0.031906284;0.030235194;0.031140147;0.02456396;0.031400943;0.019383036;0.024635703;0.027915717
Q6C2F9;0.040647419;0.035834808;0.038106998;0.031794773;0.040098134;0.043766942;0.094600186;0.105378318;0.105481584;0.115808553;0.123902034;0.133400196;0.083876065;0.106738024;0.101100892
Q6C5I4;0.010762992;0.010269612;0.008709162;0.006973439;0.009259384;0.009803767;0.01312597;0.016787285;0.016871797;0.018128205;0.016848129;0.017313278;0.011081882;0.01513866;0.013512124
B5FVF4;0.010540567;0.009836887;0.008646306;0.005729931;0.008995935;0.010005639;0.022654929;0.020676376;0.021741793;0.021368931;0.023915341;0.025250714;0.026525242;0.034299527;0.03930497
Q6C8X2;0.036266409;0.03115278;0.034554666;0.045507458;0.055658215;0.049136232;0.060198066;0.064109193;0.055836661;0.056260713;0.056631013;0.055653022;0.051820848;0.058621742;0.071643666
Q6CEF7;0.047717244;0.047660372;0.038673404;0.039835325;0.048246826;0.051274246;0.062796198;0.068942106;0.066636098;0.062274334;0.065339879;0.074168992;0.049589948;0.05717841;0.062637891
Q6CCE3;0.012437798;0.010338931;0.009349995;0.00827688;0.010848456;0.011709649;0.013043661;0.016201419;0.016120216;0.016841299;0.014363871;0.017357978;0.010653399;0.014149538;0.013305075
Q6CA71;0.138092384;0.128304265;0.103620201;0.146281602;0.115006131;0.127881226;0.16923657;0.192675327;0.194407681;0.200413088;0.210919213;0.237577065;0.140319436;0.167733865;0.172699026
Q6C395;0.017166694;0.011426942;0.007936644;0.023398091;0.013505973;0.01177315;0.094032437;0.121088491;0.097182317;0.1170556;0.082762005;0.11195869;0.071289706;0.078120784;0.085205619
Q6C119;0.036186677;0.036925884;0.025084496;0.026353361;0.027906271;0.032465081;0.04783747;0.053202078;0.048883509;0.052241225;0.046597582;0.053115834;0.035975156;0.044934135;0.049008556
Q6CCY8;0.013385999;0.012377802;0.008636367;0.013204486;0.01026193;0.01010825;0.015828612;0.01773452;0.015353739;0.018110756;0.014015489;0.019002165;0.011406144;0.013258019;0.016922584
Q6C0V8;0.025511295;0.020473274;0.022192358;0.020431316;0.025444801;0.027350045;0.035617685;0.051349052;0.052026177;0.048346967;0.05188263;0.045315249;0.039556984;0.048615394;0.045432595
Q6C9I9;0.039303178;0.037490613;0.031394348;0.025982606;0.03967934;0.04236355;0.06829946;0.076894659;0.077835505;0.079803323;0.07917595;0.081011607;0.042480584;0.059286562;0.054875531
Q6CH82;0.031824545;0.027800488;0.023552417;0.028538782;0.028135102;0.031815627;0.049789685;0.051192862;0.050707275;0.0535853;0.065834826;0.058724785;0.033730626;0.044009152;0.041651064
Q6CCV0;0.040625101;0.033994567;0.025801509;0.044889627;0.03087294;0.030481101;0.034911816;0.039253396;0.037605613;0.035851586;0.030924122;0.036508217;0.033084905;0.038796856;0.04269176
Q6C2L9;0.039121965;0.025398259;0.023688372;0.049007361;0.030006269;0.031621046;0.029154241;0.033187187;0.027312259;0.026078266;0.02245616;0.031119779;0.023468185;0.028474229;0.036758549
Q6CF29;0.014866103;0.015666069;0.012841762;0.013391195;0.01503391;0.014337955;0.023568026;0.024264086;0.023488365;0.021662566;0.026246181;0.027160947;0.014062331;0.018577077;0.018018819
Q6CBP7;0.057834023;0.049101475;0.056405539;0.054998911;0.069362166;0.061605439;0.09159522;0.099442948;0.092957943;0.093711001;0.102440545;0.099103415;0.079898907;0.103966246;0.099634779
Q6C175;0.007814211;0.00737095;0.008391816;0.007690978;0.009622592;0.011612338;0.011041682;0.013762963;0.013701262;0.01174896;0.009675054;0.012923022;0.010436271;0.010646221;0.012419032
Q6CAE1;0.034144381;0.03196581;0.024273186;0.019891469;0.029890585;0.030164533;0.042688561;0.051837469;0.046609286;0.054273636;0.045919453;0.055524424;0.033961281;0.039523601;0.042119599
Q6CC77;0.074321147;0.069514003;0.057679411;0.040192153;0.066034715;0.075867763;0.071582436;0.079065148;0.088162513;0.08333082;0.07171909;0.104196833;0.064927567;0.085307437;0.079594474
Q6CFK9;0.015402403;0.014538504;0.010162119;0.013075132;0.011489025;0.012293779;0.016726407;0.01721633;0.016922662;0.019527592;0.020709834;0.022403426;0.011599514;0.014790057;0.016200736
Q6CBE2;0.036613143;0.033458591;0.034011383;0.044854845;0.055505285;0.042700123;0.040820929;0.040930998;0.04004789;0.039988501;0.0504996;0.043456103;0.045804012;0.055305795;0.053774928
Q6C5E9;0.038495032;0.035637988;0.032729807;0.065412648;0.040949927;0.042324335;0.049294003;0.055468523;0.057592199;0.05508724;0.048852561;0.060076564;0.038139642;0.043173979;0.046894328
Q6CF17;0.060858598;0.053780802;0.034097731;0.053885399;0.046543719;0.048089875;0.041091834;0.048386155;0.039086183;0.042100855;0.036323291;0.045713136;0.032539486;0.03807696;0.040575745
Q6C851;0.176268002;0.16486523;0.124212642;0.173465544;0.162215716;0.177600984;0.062873827;0.069346247;0.069536287;0.077067174;0.067324764;0.073221145;0.064373422;0.091227773;0.086013743
Q6CAF6;0.090197583;0.073391409;0.062037449;0.068920258;0.07357344;0.078832863;0.089514713;0.101908731;0.09024455;0.097049427;0.073346679;0.109892836;0.066473593;0.084036234;0.094451005
Q6C3S9;0.067740319;0.059336044;0.045005942;0.029485809;0.062271135;0.070713454;0.062263717;0.071853178;0.0695662;0.058025271;0.046054601;0.073463555;0.055788016;0.062910611;0.069779699
Q6CAE0;0.032225831;0.027028585;0.020193256;0.031453824;0.036504393;0.032900399;0.021796086;0.020192296;0.01799792;0.022871484;0.019876349;0.025294819;0.016637202;0.018438707;0.021971284
Q6C5R8;0.025503343;0.021482726;0.015230868;0.034073268;0.017994503;0.017925636;0.012469455;0.013534718;0.0118444;0.01399411;0.012069876;0.014804505;0.008226519;0.010834923;0.011833546
Q6CDN5;0.047147891;0.048390783;0.034863606;0.033696586;0.049173273;0.044737687;0.056618509;0.062089871;0.060146677;0.063266077;0.061874499;0.064732396;0.036560574;0.048462035;0.051547788
Q6C9U9;0.099183177;0.089593212;0.059099596;0.06829743;0.090982915;0.086403598;0.064127472;0.074912288;0.069033768;0.083037251;0.077379506;0.091711628;0.062447929;0.065519344;0.081955839
Q6CG88;0.034325009;0.034873614;0.024930563;0.058335824;0.027767695;0.030696724;0.02837132;0.034759416;0.033178116;0.035678237;0.031900121;0.038363172;0.025645672;0.032477123;0.036134989
Q6C0P1;0.039748082;0.038249018;0.030184989;0.020666133;0.033409444;0.03422679;0.0649817;0.073843117;0.075411916;0.083294253;0.071585222;0.088372191;0.05693868;0.076650481;0.078801926
Q6C077;0.05156441;0.044469772;0.027278206;0.074452091;0.057152998;0.04314497;0.027932989;0.025619133;0.019523565;0.019470821;0.010098725;0.018699872;0.023815023;0.027671634;0.04372021
Q6C601;0.025461151;0.023597584;0.015845381;0.028915106;0.023882573;0.020586698;0.020128262;0.025262762;0.022234975;0.022543919;0.018878155;0.02378677;0.017587854;0.022133693;0.0243858
Q6C0Q3;0.041912027;0.035423251;0.028273101;0.033193959;0.048141487;0.042532936;0.029921105;0.033969751;0.027924248;0.029861362;0.024084553;0.03028705;0.028381116;0.031915782;0.038958005
Q6C4G9;0.020187094;0.018077585;0.01395039;0.010512777;0.016051492;0.017140625;0.025401998;0.028661079;0.022321084;0.027472224;0.015669331;0.027949912;0.017106031;0.018165196;0.022889607
Q6CFW6;0.032593656;0.029190796;0.025935582;0.027262718;0.0335148;0.031869453;0.047238389;0.052832193;0.053642896;0.062082028;0.06031997;0.067018232;0.033763926;0.04339431;0.043938664
Q6C4J6;0.01860452;0.018168974;0.013481498;0.025898336;0.021878345;0.01956019;0.033008562;0.038157278;0.03686207;0.042973324;0.031717372;0.037638918;0.02257148;0.031467943;0.030030704
Q6CG48;0.048605005;0.035180047;0.03204674;0.019914597;0.03491924;0.037681637;0.043542677;0.050992919;0.057972396;0.069349564;0.056176484;0.069745274;0.036687823;0.05313199;0.050072412
Q6C5U1;0.025071584;0.023808648;0.022648592;0.021442497;0.028034557;0.027330536;0.042096673;0.048977503;0.040101026;0.044908689;0.046614125;0.046079746;0.026003732;0.035396602;0.037506818
Q6C2E2;0.030849279;0.030075306;0.02426766;0.021778485;0.031635704;0.032252437;0.034825161;0.046767684;0.038148708;0.042706387;0.036288052;0.042518741;0.028983545;0.035530401;0.037390767
Q6C0Z8;0.060785606;0.041656372;0.030202727;0.028531256;0.057111148;0.050655808;0.03017698;0.033687052;0.031449921;0.027501026;0.026953898;0.027016415;0.028237975;0.03154893;0.034333161
Q6CCS5;0.055039809;0.053268061;0.053288891;0.04634547;0.060381993;0.060625354;0.094568191;0.092042229;0.099627857;0.093222561;0.099384725;0.101546237;0.077816827;0.103156553;0.087649368
Q6CAR7;0.020501077;0.018170495;0.016462584;0.017136361;0.020206879;0.024908497;0.03102859;0.029828063;0.035318237;0.035825496;0.038855314;0.036724285;0.02547905;0.022326585;0.020856314
Q6CEH5;0.069517424;0.073181683;0.059654174;0.139775985;0.079872508;0.081479365;0.099535362;0.123021557;0.121140677;0.128693189;0.14277522;0.127266794;0.091487207;0.10350984;0.126623569
Q6C1T2;0.02349565;0.01798566;0.021860712;0.021524942;0.03006889;0.027010075;0.14791772;0.170939954;0.156013078;0.16040066;0.221107762;0.171987397;0.077988963;0.076833559;0.087591879
Q6C5B6;0.041310238;0.041809806;0.027316892;0.032197915;0.054501723;0.04643725;0.039648253;0.033190571;0.026497268;0.027463303;0.01942969;0.025534078;0.020205255;0.020549579;0.031929259
Q6CCS2;0.013324997;0.011530993;0.007861588;0.019893309;0.013408617;0.012020881;0.004573774;0.007063321;0.004308696;0.005401061;0.003048268;0.006314581;0.004296526;0.005272372;0.008464
Q6C4X8;0.014172652;0.012531623;0.00990031;0.010244888;0.014770057;0.013278594;0.011444589;0.01387649;0.011402551;0.009534408;0.009566302;0.012035022;0.011448564;0.012549385;0.014644603
Q6CI15;0.034559846;0.030335289;0.023243865;0.045384569;0.029667728;0.025894838;0.048927953;0.060368321;0.058095021;0.064020053;0.060012394;0.056878852;0.037355855;0.048742589;0.046704105
Q6C0F7;0.027685363;0.023863653;0.023108657;0.021046983;0.025083936;0.02644178;0.048132849;0.049217539;0.052169352;0.067416546;0.078277705;0.063624106;0.031532897;0.054229185;0.035932197
Q6C1V1;0.057739751;0.05514534;0.051187418;0.043449945;0.056997953;0.059274355;0.062897695;0.068828318;0.068673366;0.073446886;0.069376033;0.072797139;0.053934131;0.073848429;0.071659592
B5FVG3;0.004736749;0.003832578;0.007865665;0.033445519;0.013237854;0.008814934;0.019690189;0.019002485;0.013532492;0.01565098;0.021706264;0.015897052;0.019239844;0.019010113;0.024482265
Q6CGP9;0.018689054;0.017628602;0.017835356;0.0376926;0.021163846;0.022234907;0.028487311;0.035208449;0.031284478;0.033340171;0.034423365;0.034558814;0.026586738;0.032848893;0.032732352
Q6CBG0;0.007163595;0.006539109;0.005896796;0.004014508;0.005985109;0.007050675;0.013741278;0.016070822;0.015719232;0.020623385;0.022675805;0.022895917;0.009975758;0.014843568;0.012788288
Q6C3N1;0.067303529;0.04898368;0.035474268;0.110096842;0.088067034;0.06886446;0.041643599;0.05049199;0.041688328;0.039331285;0.036704186;0.045956343;0.03959758;0.039268751;0.054494442
Q6CD10;0.06471625;0.061982214;0.041773039;0.039650243;0.043616021;0.046135237;0.03045864;0.032231995;0.027987021;0.028603947;0.024509214;0.033129833;0.027381163;0.033531177;0.037774317
Q6C4G8;0.039039238;0.038943213;0.034967741;0.059038232;0.064718226;0.047934113;0.03461785;0.032818043;0.03127891;0.020551493;0.025962375;0.022874828;0.056450982;0.064252003;0.077242809
Q6C7A9;0.026754496;0.02444553;0.018514647;0.041175615;0.024673878;0.025307123;0.027570518;0.031288009;0.032005519;0.038130124;0.041328936;0.037139699;0.022980381;0.027752125;0.03342016
Q6C990;0.040388633;0.038727802;0.035009443;0.064665986;0.041297583;0.04115246;0.055442153;0.067319523;0.060247856;0.058369878;0.059603744;0.06539007;0.040020379;0.058930447;0.057239864
Q6C9W3;0.044507994;0.033091615;0.043011757;0.046724438;0.046858962;0.050524515;0.05811584;0.061957633;0.067066453;0.066512603;0.066888084;0.079568288;0.04344364;0.069792801;0.061440148
P41922;0.04003167;0.035589811;0.030479055;0.036599711;0.03406614;0.036364235;0.056095376;0.064307374;0.062636649;0.058505507;0.05862724;0.06657734;0.039312334;0.048736149;0.049874439
Q6C695;0.035239385;0.028546701;0.02733195;0.030161664;0.035696056;0.033445779;0.10048214;0.105456791;0.099972682;0.104382674;0.124070023;0.113784031;0.059985557;0.074736126;0.073218991
Q6C6R7;0.035465595;0.031193935;0.025635581;0.04395511;0.04736931;0.036681236;0.031224717;0.033155149;0.031827863;0.028171212;0.024879621;0.029774907;0.030445775;0.032164564;0.04201765
Q6C3R3;0.015743616;0.012854897;0.01729376;0.032275987;0.026754454;0.021970878;0.039951942;0.038456986;0.029012742;0.031370971;0.042979251;0.035228009;0.030875189;0.032880134;0.045605991
Q6CI01;0.007966803;0.007175648;0.00634771;0.010377283;0.007513727;0.007729151;0.010080043;0.010746254;0.009008141;0.010584128;0.009971858;0.010679041;0.00755556;0.010301127;0.011710246
Q6C0R5;0.00832874;0.006975217;0.008758318;0.00730031;0.010866984;0.010139231;0.022423342;0.0285567;0.023374052;0.022517381;0.02867666;0.027050437;0.017975109;0.019542279;0.020329471
Q6CH38;0.000906814;0.001082099;0.000570858;0.00073626;0.000869882;0.00095569;0.000698622;0.000483615;0.000509176;0.0009546;0.000694917;0.000699565;0.000590513;0.000644584;0.000704042
Q6C443;0.017777093;0.015619882;0.01755794;0.065106551;0.023502242;0.019035783;0.024889136;0.026322735;0.020778051;0.023174437;0.02891674;0.022196559;0.024390111;0.028534048;0.030145341
