"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"YALI1_F22915g";"YALI1_F22915g";0,585398569456664;5,44245380129832;2,20660095649218;0,0334492151009381;0,355095424896776;-3,66235715456861
"YALI1_C00141g";"YALI1_C00141g";-0,391277302916904;7,51102362346569;-2,20583497621821;0,0335070992788177;0,355095424896776;-3,77532773278748
"YALI1_E03150g";"YALI1_E03150g";0,546270570922905;5,66977438083072;2,20477880307258;0,0335870590603947;0,355095424896776;-3,57985456141617
"YALI1_B05420g";"YALI1_B05420g";0,898008981289786;3,78937080308444;2,2042037545335;0,0336306656043176;0,355095424896776;-3,55660893132047
"YALI1_E23988g";"YALI1_E23988g";0,509532204481831;3,93990008791299;2,20259165015933;0,0337531816838052;0,355095424896776;-3,61024786785308
"YALI1_B10437g";"YALI1_B10437g";0,888019449421532;3,3227233256514;2,20180490333725;0,0338131165078828;0,355095424896776;-3,58467872237031
"YALI1_F04655g";"YALI1_F04655g";-0,173858778993178;9,50518521797903;-2,1959803926158;0,0342597814183067;0,357937254041482;-4,29270968554967
"YALI1_B01352g";"YALI1_B01352g";0,464106777646116;5,70636019083047;2,19194667601081;0,0345721801135169;0,357937254041482;-3,70845559972449
"YALI1_D28259g";"YALI1_D28259g";-0,403481981026115;8,92435620763601;-2,18836755608435;0,0348514871351967;0,357937254041482;-4,02083959775671
"YALI1_D20719g";"YALI1_D20719g";0,666431328417735;4,33417290055024;2,18787499398605;0,0348900820484394;0,357937254041482;-3,57552959541939
"YALI1_E01352g";"YALI1_E01352g";1,20298864245517;3,59333192865594;2,18750189633617;0,0349193415216961;0,357937254041482;-3,60968501614337
"YALI1_D30593g";"YALI1_D30593g";-0,675533703154218;5,24992869220917;-2,18702950922162;0,0349564188269169;0,357937254041482;-3,60512286822978
"YALI1_F05088g";"YALI1_F05088g";0,303956611899171;10,4129103436166;2,1855354430808;0,0350739170752144;0,357937254041482;-4,33714258110329
"YALI1_A01394g";"YALI1_A01394g";0,319154404340176;7,35295454688469;2,18545103679357;0,035080565509526;0,357937254041482;-4,05256425320151
"YALI1_E16694g";"YALI1_E16694g";1,08928559421364;3,52875718095053;2,18481546924379;0,035130663217591;0,357937254041482;-3,64719749410065
"YALI1_F25254g";"YALI1_F25254g";0,370120674199484;5,44503587450719;2,18261439537574;0,0353046507202122;0,358522806158723;-3,91693216012874
"YALI1_F24173g";"YALI1_F24173g";-1,30173988114868;3,41131768731703;-2,18109618299538;0,0354251054093127;0,358562662317286;-3,73979671442453
"YALI1_D13042g";"YALI1_D13042g";1,99635703584228;2,39885598056324;2,17593780507525;0,0358370980589827;0,360796307355834;-4,04451584557904
"YALI1_B09144g";"YALI1_B09144g";0,149805415680936;10,2284047228283;2,17437232233689;0,0359629685202029;0,360796307355834;-4,44733516598441
"YALI1_A02150g";"YALI1_A02150g";1,88773008710153;2,59436824445911;2,17242553019108;0,0361200442180352;0,360796307355834;-3,99399315347455
"YALI1_C18391g";"YALI1_C18391g";-0,293935775858735;10,0474361631951;-2,17022063023675;0,036298679202982;0,360796307355834;-4,12218943686061
"YALI1_F24525g";"YALI1_F24525g";-0,635606748318459;4,29330020126347;-2,17008077098725;0,0363100365750033;0,360796307355834;-3,63949837298162
"YALI1_A15073g";"YALI1_A15073g";-0,688139046548115;5,49354973540433;-2,16959732722093;0,0363493192331194;0,360796307355834;-3,61940973465787
"YALI1_F34095g";"YALI1_F34095g";0,936280949562288;2,85576933232314;2,1649834889339;0,0367261192611191;0,363364208895381;-3,63325232092408
"YALI1_E26492g";"YALI1_E26492g";-0,590792111645452;6,96593916722544;-2,1623688315712;0,0369411834803149;0,363827508722316;-3,77305566309786
"YALI1_D00766g";"YALI1_D00766g";-0,190450023008346;12,8481735730624;-2,16154195987302;0,0370094280890754;0,363827508722316;-4,83804957747983
"YALI1_E34218g";"YALI1_E34218g";-0,535853764390601;5,19467760981444;-2,15532202477804;0,0375263680204164;0,367734504454845;-3,6722995530114
"YALI1_F33579g";"YALI1_F33579g";0,564715881079372;6,49714602508353;2,1519640908863;0,0378080932896175;0,369319057308422;-3,6982098989627
"YALI1_D28963g";"YALI1_D28963g";-0,250781764430505;7,69652574588211;-2,14957470734019;0,0380096961315078;0,370113401888131;-4,24356007167835
"YALI1_B04873g";"YALI1_B04873g";-0,88102406679051;3,92069685946219;-2,14123033829054;0,0387212218006829;0,374911103869913;-3,64249632641311
"YALI1_D09766g";"YALI1_D09766g";1,3149269153041;5,64466991190217;2,14094111025177;0,0387460939326071;0,374911103869913;-3,66891760774647
"YALI1_B25495g";"YALI1_B25495g";-0,738232125375919;4,12912729364741;-2,13873353711361;0,0389363992855727;0,375571475240462;-3,64553241925094
"YALI1_E27218g";"YALI1_E27218g";-0,142722881691162;12,7390122935974;-2,13541715435716;0,0392238417911227;0,377161753722764;-4,8653762196881
"YALI1_D14058g";"YALI1_D14058g";-1,24442153354985;2,93243453668418;-2,13121308831255;0,0395909143205668;0,378398898368656;-3,7588881024135
